Date,AAPL,AMZN,BTC-USD,GOOGL,MSFT,NFLX,TSLA
2023-11-12,184.48348999023438,143.55999755859375,37054.51953125,131.5031280517578,362.6737060546875,44.7239990234375,214.64999389648438
2023-11-13,182.89996337890625,142.58999633789062,36502.35546875,131.00721740722656,359.7403259277344,44.46200180053711,223.7100067138672
2023-11-14,185.51280212402344,145.8000030517578,35537.640625,132.52468872070312,363.2623596191406,44.8650016784668,237.41000366210938
2023-11-15,186.07693481445312,143.1999969482422,37880.58203125,133.51646423339844,363.4098205566406,46.194000244140625,242.83999633789062
2023-11-16,187.7594757080078,142.8300018310547,36154.76953125,135.8075408935547,369.79974365234375,46.69499969482422,233.58999633789062
2023-11-17,187.73968505859375,145.17999267578125,36596.68359375,134.2008514404297,363.5867004394531,46.590999603271484,234.3000030517578
2023-11-18,187.73968505859375,145.17999267578125,36585.703125,134.2008514404297,363.5867004394531,46.590999603271484,234.3000030517578
2023-11-19,187.73968505859375,145.17999267578125,37386.546875,134.2008514404297,363.5867004394531,46.590999603271484,234.3000030517578
2023-11-20,189.4815673828125,146.1300048828125,37476.95703125,135.1331329345703,371.0482177734375,47.446998596191406,235.60000610351562
2023-11-21,188.67991638183594,143.89999389648438,35813.8125,135.8472442626953,366.7522277832031,47.494998931884766,241.1999969482422
2023-11-22,189.34304809570312,146.7100067138672,37432.33984375,137.35476684570312,371.45123291015625,47.79999923706055,234.2100067138672
2023-11-23,189.34304809570312,146.7100067138672,37289.62109375,137.35476684570312,371.45123291015625,47.79999923706055,234.2100067138672
2023-11-24,188.0167999267578,146.74000549316406,37720.28125,135.5695037841797,371.038330078125,47.95600128173828,235.4499969482422
2023-11-25,188.0167999267578,146.74000549316406,37796.79296875,135.5695037841797,371.038330078125,47.95600128173828,235.4499969482422
2023-11-26,188.0167999267578,146.74000549316406,37479.12109375,135.5695037841797,371.038330078125,47.95600128173828,235.4499969482422
2023-11-27,187.83865356445312,147.72999572753906,37254.16796875,135.2917938232422,372.1983642578125,47.91699981689453,236.0800018310547
2023-11-28,188.44236755371094,147.02999877929688,37831.0859375,136.0753173828125,376.21917724609375,47.900001525878906,246.72000122070312
2023-11-29,187.42295837402344,146.32000732421875,37858.4921875,133.88348388671875,372.4343566894531,47.71900177001953,244.13999938964844
2023-11-30,187.9969940185547,146.08999633789062,37712.74609375,131.44363403320312,372.4932861328125,47.39699935913086,240.0800018310547
